Index1,Index2,Protein1,Protein2,Score,InteractionType
839,1119,ARF5,ACAP1,825,Protein_Protein
839,2709,ARF5,COPA,718,Protein_Protein
839,8116,ARF5,RAB11FIP3,952,Protein_Protein
839,1238,ARF5,COPB2,752,Protein_Protein
839,7716,ARF5,COPE,795,Protein_Protein
839,564,ARF5,ARF3,756,Protein_Protein
839,3211,ARF5,ARFGAP1,795,Protein_Protein
839,2363,ARF5,RAB11FIP1,755,Protein_Protein
839,6093,ARF5,CYTH1,765,Protein_Protein
839,9011,ARF5,IQSEC1,835,Protein_Protein
839,7357,ARF5,RAB11A,792,Protein_Protein
839,6896,ARF5,ARFGAP2,785,Protein_Protein
839,6953,ARF5,COPB1,846,Protein_Protein
839,6055,ARF5,ARF4,888,Protein_Protein
839,4846,ARF5,ASAP1,892,Protein_Protein
839,9040,ARF5,RAB11FIP4,847,Protein_Protein
839,9690,ARF5,GORAB,745,Protein_Protein
839,5883,ARF5,ACAP2,815,Protein_Protein
839,9158,ARF5,ARFGAP3,737,Protein_Protein
839,2255,ARF5,ARFIP1,861,Protein_Protein
839,8900,ARF5,ARF1,862,Protein_Protein
839,6080,ARF5,CDKN2A,760,Protein_Protein
839,4393,ARF5,GBF1,828,Protein_Protein
839,2033,ARF5,ARFIP2,842,Protein_Protein
839,9166,ARF5,AGAP1,702,Protein_Protein
839,896,ARF5,ASAP2,747,Protein_Protein
839,4044,ARF5,COPZ1,705,Protein_Protein
4563,6454,M6PR,GGA3,993,Protein_Protein
4563,738,M6PR,VTI1A,745,Protein_Protein
4563,5363,M6PR,TGOLN2,748,Protein_Protein
4563,3051,M6PR,GGA2,911,Protein_Protein
4563,1990,M6PR,GGA1,957,Protein_Protein
4563,2360,M6PR,IGF2R,991,Protein_Protein
4563,3486,M6PR,PLIN3,872,Protein_Protein
6695,5199,FKBP4,STIP1,979,Protein_Protein
6695,1855,FKBP4,NR3C2,945,Protein_Protein
6695,7352,FKBP4,FKBP5,972,Protein_Protein
6695,8971,FKBP4,SERPINB2,712,Protein_Protein
6695,5550,FKBP4,HSPA8,942,Protein_Protein
6695,6220,FKBP4,GLMN,983,Protein_Protein
6695,2532,FKBP4,HSF1,783,Protein_Protein
6695,3722,FKBP4,HSPA2,748,Protein_Protein
6695,4249,FKBP4,MTOR,961,Protein_Protein
6695,4368,FKBP4,AKT1,914,Protein_Protein
6695,6720,FKBP4,PTGES3,990,Protein_Protein
6695,778,FKBP4,DNAJB1,957,Protein_Protein
6695,6106,FKBP4,PPID,937,Protein_Protein
6695,3383,FKBP4,HSP90AB1,999,Protein_Protein
6695,5255,FKBP4,HSPA4,998,Protein_Protein
6695,6748,FKBP4,CDC37L1,734,Protein_Protein
6695,8460,FKBP4,CDC37,859,Protein_Protein
6695,2358,FKBP4,NR3C1,996,Protein_Protein
6695,5842,FKBP4,HSP90AA1,999,Protein_Protein
6695,3276,FKBP4,PHYH,783,Protein_Protein
6695,529,FKBP4,PGR,977,Protein_Protein
6695,8080,FKBP4,S100A1,742,Protein_Protein
6695,2678,FKBP4,AHSA1,973,Protein_Protein
6695,1463,FKBP4,DCTN2,761,Protein_Protein
6695,6063,FKBP4,PHLPP1,993,Protein_Protein
6695,6111,FKBP4,CLCA1,745,Protein_Protein
6695,7522,FKBP4,ADSL,849,Protein_Protein
6695,1393,FKBP4,HSPA1A,771,Protein_Protein
6695,883,FKBP4,ESR1,893,Protein_Protein
6695,5888,FKBP4,AR,928,Protein_Protein
6695,1926,FKBP4,HSPA1B,806,Protein_Protein
6695,3235,FKBP4,CHUK,801,Protein_Protein
9330,8972,CYP26B1,CYP2C9,938,Protein_Protein
9330,1683,CYP26B1,CYP4A22,927,Protein_Protein
9330,8257,CYP26B1,CYP3A7,936,Protein_Protein
9330,936,CYP26B1,CYP3A5,935,Protein_Protein
9330,6371,CYP26B1,CRABP1,750,Protein_Protein
9330,5459,CYP26B1,CYP2C8,940,Protein_Protein
9330,1191,CYP26B1,CYP2S1,941,Protein_Protein
9330,517,CYP26B1,RDH10,751,Protein_Protein
9330,4575,CYP26B1,ALDH1A1,964,Protein_Protein
9330,6636,CYP26B1,CYP26A1,919,Protein_Protein
9330,2584,CYP26B1,CYP26C1,922,Protein_Protein
9330,2615,CYP26B1,ENSP00000480571,932,Protein_Protein
9330,8512,CYP26B1,CYP1A2,945,Protein_Protein
9330,6084,CYP26B1,CYP3A4,939,Protein_Protein
9330,7024,CYP26B1,CYP1A1,943,Protein_Protein
9330,2017,CYP26B1,AOX1,921,Protein_Protein
9330,3444,CYP26B1,CYP2C18,937,Protein_Protein
9330,2005,CYP26B1,CYP2A6,936,Protein_Protein
9330,1249,CYP26B1,UGT2B7,714,Protein_Protein
9330,8324,CYP26B1,CYP2B6,936,Protein_Protein
9330,9388,CYP26B1,CYP4A11,926,Protein_Protein
9330,8648,CYP26B1,UGT2A2,702,Protein_Protein
9330,7242,CYP26B1,STRA8,934,Protein_Protein
9330,3082,CYP26B1,ALDH1A3,973,Protein_Protein
9330,9766,CYP26B1,ALDH1A2,988,Protein_Protein
9330,1658,CYP26B1,NANOS2,956,Protein_Protein
9330,4544,CYP26B1,UGT1A6,706,Protein_Protein
4288,5848,NDUFAF7,NDUFAF3,732,Protein_Protein
4288,3639,NDUFAF7,NDUFAF6,841,Protein_Protein
4288,4233,NDUFAF7,NDUFA7,740,Protein_Protein
4288,5475,NDUFAF7,NDUFS3,735,Protein_Protein
4288,6965,NDUFAF7,NDUFS2,947,Protein_Protein
4288,5513,NDUFAF7,TIMMDC1,719,Protein_Protein
4288,7485,NDUFAF7,NDUFA10,721,Protein_Protein
4288,3073,NDUFAF7,NDUFS8,791,Protein_Protein
4288,7678,NDUFAF7,NDUFAF4,740,Protein_Protein
4288,5029,NDUFAF7,NDUFS7,813,Protein_Protein
4288,2097,NDUFAF7,NDUFAF1,799,Protein_Protein
4288,332,NDUFAF7,TMEM126B,820,Protein_Protein
4288,8321,NDUFAF7,NDUFAF5,920,Protein_Protein
4288,5446,NDUFAF7,NUBPL,790,Protein_Protein
4288,513,NDUFAF7,NDUFAF2,790,Protein_Protein
4288,7719,NDUFAF7,NDUFB5,708,Protein_Protein
