Index1,Index2,Protein1,Protein2,score,InteractionType
4522,3433,ARF5,ACAP1,825,Protein_Protein
4522,5741,ARF5,RAB11FIP3,952,Protein_Protein
4522,7924,ARF5,COPB2,752,Protein_Protein
4522,6127,ARF5,COPE,795,Protein_Protein
4522,8349,ARF5,ARF3,756,Protein_Protein
4522,5418,ARF5,ARFGAP1,795,Protein_Protein
4522,6045,ARF5,RAB11FIP1,755,Protein_Protein
4522,1282,ARF5,CYTH1,765,Protein_Protein
4522,6347,ARF5,IQSEC1,835,Protein_Protein
4522,8183,ARF5,RAB11A,792,Protein_Protein
4522,4569,ARF5,ARFGAP2,785,Protein_Protein
4522,6811,ARF5,COPB1,846,Protein_Protein
4522,4995,ARF5,ARF4,888,Protein_Protein
4522,1506,ARF5,ASAP1,892,Protein_Protein
4522,8305,ARF5,RAB11FIP4,847,Protein_Protein
4522,735,ARF5,ACAP2,815,Protein_Protein
4522,1320,ARF5,ARFIP1,861,Protein_Protein
4522,1532,ARF5,ARF1,862,Protein_Protein
4522,3996,ARF5,CDKN2A,760,Protein_Protein
4522,7856,ARF5,GBF1,828,Protein_Protein
4522,8658,ARF5,ARFIP2,842,Protein_Protein
8095,2739,M6PR,GGA3,993,Protein_Protein
8095,967,M6PR,GGA2,911,Protein_Protein
8095,7917,M6PR,GGA1,957,Protein_Protein
8095,1610,M6PR,IGF2R,991,Protein_Protein
8095,2903,M6PR,PLIN3,872,Protein_Protein
600,4467,FKBP4,STIP1,979,Protein_Protein
600,5929,FKBP4,NR3C2,945,Protein_Protein
600,6183,FKBP4,FKBP5,972,Protein_Protein
600,7441,FKBP4,HSPA8,942,Protein_Protein
600,7465,FKBP4,GLMN,983,Protein_Protein
600,2934,FKBP4,HSF1,783,Protein_Protein
600,7211,FKBP4,MTOR,961,Protein_Protein
600,1599,FKBP4,AKT1,914,Protein_Protein
600,1168,FKBP4,PTGES3,990,Protein_Protein
600,7385,FKBP4,DNAJB1,957,Protein_Protein
600,2441,FKBP4,PPID,937,Protein_Protein
600,2543,FKBP4,HSP90AB1,999,Protein_Protein
600,6915,FKBP4,HSPA4,998,Protein_Protein
600,8108,FKBP4,CDC37,859,Protein_Protein
600,8632,FKBP4,NR3C1,996,Protein_Protein
600,6974,FKBP4,HSP90AA1,999,Protein_Protein
600,420,FKBP4,PHYH,783,Protein_Protein
600,3242,FKBP4,PGR,977,Protein_Protein
600,35,FKBP4,AHSA1,973,Protein_Protein
600,5715,FKBP4,DCTN2,761,Protein_Protein
600,4527,FKBP4,PHLPP1,993,Protein_Protein
600,8740,FKBP4,ADSL,849,Protein_Protein
600,6635,FKBP4,HSPA1A,771,Protein_Protein
600,2035,FKBP4,ESR1,893,Protein_Protein
600,1536,FKBP4,AR,928,Protein_Protein
600,3300,FKBP4,HSPA1B,806,Protein_Protein
600,609,FKBP4,CHUK,801,Protein_Protein
2361,5997,CYP26B1,CYP2C9,938,Protein_Protein
2361,1015,CYP26B1,CYP4A22,927,Protein_Protein
2361,5352,CYP26B1,CYP3A7,936,Protein_Protein
2361,2369,CYP26B1,CYP3A5,935,Protein_Protein
2361,2595,CYP26B1,CYP2C8,940,Protein_Protein
2361,765,CYP26B1,CYP2S1,941,Protein_Protein
2361,3050,CYP26B1,RDH10,751,Protein_Protein
2361,1269,CYP26B1,ALDH1A1,964,Protein_Protein
2361,387,CYP26B1,CYP26A1,919,Protein_Protein
2361,1393,CYP26B1,CYP26C1,922,Protein_Protein
2361,4380,CYP26B1,ENSP00000480571,932,Protein_Protein
2361,2328,CYP26B1,CYP1A2,945,Protein_Protein
2361,5201,CYP26B1,CYP3A4,939,Protein_Protein
2361,8850,CYP26B1,CYP1A1,943,Protein_Protein
2361,1481,CYP26B1,AOX1,921,Protein_Protein
2361,4146,CYP26B1,CYP2C18,937,Protein_Protein
2361,4246,CYP26B1,CYP2A6,936,Protein_Protein
2361,3697,CYP26B1,CYP2B6,936,Protein_Protein
2361,8728,CYP26B1,CYP4A11,926,Protein_Protein
2361,8497,CYP26B1,STRA8,934,Protein_Protein
2361,5664,CYP26B1,ALDH1A3,973,Protein_Protein
2361,8255,CYP26B1,ALDH1A2,988,Protein_Protein
2361,6845,CYP26B1,NANOS2,956,Protein_Protein
6977,1550,NDUFAF7,NDUFAF6,841,Protein_Protein
6977,1402,NDUFAF7,NDUFS2,947,Protein_Protein
6977,4121,NDUFAF7,NDUFS8,791,Protein_Protein
6977,8359,NDUFAF7,NDUFS7,813,Protein_Protein
6977,999,NDUFAF7,NDUFAF1,799,Protein_Protein
6977,8616,NDUFAF7,TMEM126B,820,Protein_Protein
