NodeIndex,GeneSymbol,AAA,PAD,AMI,Stroke,HeartFailure
0,ATOX1,0,0,0,0,0
1,CLUAP1,0,0,0,0,0
2,ALAS1,0,0,0,0,0
3,IDUA,0,0,0,0,1
4,TNFRSF10A,0,0,0,0,0
5,RGPD5,0,0,0,0,0
6,ORM2,0,0,0,0,0
7,ZFP91,0,0,0,0,0
8,SENP8,0,0,0,0,0
9,KCNB1,0,0,0,0,0
10,GDF7,0,0,0,0,0
11,GTF2B,0,0,0,0,0
12,RPS6KA4,0,0,0,0,0
13,FGF20,0,0,0,0,0
14,GNB3,0,0,0,0,0
15,RETSAT,0,0,0,0,0
16,YOD1,0,0,0,0,0
17,PARD3,0,0,0,0,0
18,B2M,0,0,0,0,0
19,MLH3,0,0,0,0,0
20,PAQR8,0,0,0,0,0
21,HSD3B2,0,0,0,0,0
22,RPS21,0,0,0,0,0
23,MED12L,0,0,0,0,0
24,CTBP1,0,0,0,0,0
25,NFKBID,0,0,0,0,0
26,PAFAH1B1,0,0,0,0,0
27,C9orf116,0,0,0,0,0
28,HOMER1,0,0,0,0,0
29,ARHGAP29,0,0,0,0,0
30,ASB4,0,0,0,0,0
31,MATN3,0,0,0,0,0
32,ISCA1,0,0,0,0,0
33,CLCNKA,0,0,0,0,0
34,CCL28,0,0,0,0,0
35,AHSA1,0,0,0,0,0
36,PLD4,0,0,0,0,0
37,PRKAB1,0,0,0,0,0
38,MSMB,0,0,0,0,0
39,FCER1G,0,0,0,0,0
40,CCAR2,0,0,0,0,0
41,LATS2,0,0,0,0,0
42,FBLIM1,0,0,0,0,0
43,POTEF,0,0,0,0,0
44,CCDC173,0,0,0,0,0
45,PRKN,0,0,0,0,0
46,KRT5,0,0,0,0,0
47,DEGS1,0,0,0,0,0
48,PPP3CB,0,0,0,0,0
49,WDR63,0,0,0,0,0
50,POGZ,0,0,0,0,0
51,SERPINA1,1,0,0,0,1
52,ICAM1,0,0,0,0,0
53,SENP2,0,0,0,0,0
54,POMK,0,0,0,0,0
