NodeIndex,GeneSymbol,PAD
0,POMC,0
1,DCLRE1B,0
2,CCNA1,0
3,TUBB2A,0
4,PTS,0
5,OPA3,0
6,SLC8A1,0
7,MRPS9,0
8,CRCP,0
9,OBP2B,0
10,RPP40,0
11,HTT,0
12,INPP4A,0
13,ELK1,0
14,AGMAT,0
15,ACVR1C,0
16,TCF15,0
17,ALAD,0
18,CERS6,0
19,RAB40B,0
20,AQP11,0
21,RSL24D1,0
22,CLNK,0
23,SMG6,0
24,AURKA,0
25,REG3A,0
26,GALNT12,0
27,MBOAT4,0
28,GALM,0
29,RHEB,0
30,ERCC6,0
31,TRIM23,0
32,SET,0
33,RPL36,0
34,TP53RK,0
35,VIP,0
36,LIM2,0
37,SNRPD1,0
38,MRPL39,0
39,TMEM258,0
40,APOBEC3G,0
41,ADCYAP1,0
42,LAMTOR3,0
43,GMPPA,0
44,TAZ,0
45,MMP17,0
46,NIFK,0
47,HSD17B14,0
48,SALL4,0
49,FMNL1,0
50,NOMO2,0
51,MXD3,0
52,MED12L,0
53,SORD,0
54,SOS1,0
55,HDLBP,0
56,BANF2,0
57,NEK6,0
58,TBKBP1,0
59,ULK3,0
60,EFL1,0
61,PRKCQ,0
62,H4C5,0
63,CPA3,0
64,PTGS2,0
65,RRM2,0
66,NEMF,0
67,NFIA,0
68,DEPDC1,0
69,HNRNPA3,0
70,C15orf41,0
71,DDX31,0
72,COL5A1,0
73,TAF11L5,0
74,MRPS5,0
75,DNM1,0
76,CCNE2,0
77,GNAT3,0
78,ABCG4,0
79,ANLN,0
80,GDF7,0
81,RAB7B,0
82,FZD10,0
83,GORASP2,0
84,RBL1,0
85,HTD2,0
86,TMEM254,0
87,INO80B,0
88,SIN3B,0
89,RIN1,0
90,PEX26,0
91,HTR1D,0
92,IGFBP2,0
93,ZNF274,0
94,ALOX15B,0
95,KRT14,0
96,DCP1A,0
97,SOCS6,0
98,SDE2,0
99,UBAC2,0
100,PLCB2,0
101,BNIP3,0
102,ACKR1,0
103,PLPP1,0
104,RNF139,0
105,EHHADH,0
106,CMTM8,0
107,HSD3B1,0
108,S100A4,0
109,USP2,0
110,ZMYND8,0
111,CYCS,0
112,RPS4Y1,0
113,TDP2,0
114,WDR7,0
115,AHSP,0
116,SOX17,0
117,SHH,0
118,NAA40,0
119,ELP4,0
120,H2BC15,0
121,CDH19,0
122,SRRM3,0
123,TSHR,0
124,MTERF1,0
125,SNX9,0
126,SRBD1,0
127,IFNA8,0
128,FLNB,0
129,AP1AR,0
130,ACVR1B,0
131,JARID2,0
132,ATP5MG,0
133,EIF2B2,0
134,MMP12,1
135,PTPRB,0
136,MBD4,0
137,CACNA1G,0
138,ACACB,0
139,PRKAA1,0
140,ZUP1,0
141,DCAF5,0
142,SMPD1,0
143,NLRP7,0
144,METTL3,0
145,REV1,0
146,ULBP3,0
147,CDS2,0
148,BBS12,0
149,NCOA3,0
150,GUCA1B,0
151,SSTR2,0
152,H2AC17,0
153,UNG,0
154,LSG1,0
155,SERP1,0
156,PCLO,0
157,FDPS,0
158,TNNT2,0
159,HK3,0
160,PATJ,0
161,PREP,0
162,CRH,0
163,AP3M2,0
164,ABCG1,0
165,ELN,1
166,KYAT3,0
167,SPP2,0
168,RPL10A,0
169,ALKBH4,0
170,NCALD,0
171,DSC3,0
172,MRPS36,0
173,CCDC155,0
174,UBXN2A,0
175,DNAJA1,0
176,SH2B3,0
177,NLRP11,0
178,PRRC2A,0
179,ALDH2,0
180,UPF3A,0
181,CXCL17,0
182,FOXF1,0
183,SIX6,0
184,OPN1SW,0
185,LPCAT1,0
186,GCSH,0
187,ANAPC10,0
188,COPS4,0
189,GJB1,0
190,GDI1,0
191,HTN3,0
