NodeIndex,GeneSymbol,AAA,PAD
0,ATOX1,0,0
1,CLUAP1,0,0
2,ALAS1,0,0
3,IDUA,0,0
4,TNFRSF10A,0,0
5,RGPD5,0,0
6,ORM2,0,0
7,ZFP91,0,0
8,SENP8,0,0
9,KCNB1,0,0
10,GDF7,0,0
11,GTF2B,0,0
12,RPS6KA4,0,0
13,FGF20,0,0
14,GNB3,0,0
15,RETSAT,0,0
16,YOD1,0,0
80,CAPZA1,0,0
81,CLINT1,0,0
82,SMG7,0,0
83,SSR4,0,0
84,FANCG,0,0
85,IL1R1,0,0
86,DAOA,0,0
87,OXT,0,0
88,PFKFB2,0,0
89,CCNDBP1,0,0
90,HOXA13,0,0
91,WAPL,0,0
92,CNOT3,0,0
93,PHEX,0,0
94,TRMT6,0,0
95,HYOU1,0,0
96,ZC3H6,0,0
97,PLN,0,0
98,AGMAT,0,0
99,DEFA1B,0,0
100,GJA1,0,0
101,MAP3K3,0,0
102,HHAT,0,0
103,MRPL39,0,0
104,ITGA10,0,0
105,GHRH,0,0
106,SMARCE1,0,0
107,TTLL6,0,0
108,MIXL1,0,0
109,KCNJ1,0,0
110,APBB3,0,0
111,NAAA,0,0
112,LPCAT3,0,0
113,IFNL1,0,0
114,SLAMF1,0,0
115,RPL39L,0,0
116,FBN1,1,1
117,PIGO,0,0
118,PSMA7,0,0
119,ACTR10,0,0
120,LDLR,0,1
121,VIL1,0,0
122,ELL,0,0
123,PDHA1,0,0
124,LRP6,0,0
125,JUND,0,0
126,CHN2,0,0
127,PRKRA,0,0
128,CACNB4,0,0
129,MUC5B,0,0
130,CSAD,0,0
131,SCP2,0,0
132,RAPGEF4,0,0
133,VCX,0,0
134,TIMM8B,0,0
135,HSPBP1,0,0
136,CBFA2T3,0,0
137,RCC1,0,0
138,IL21,0,0
139,H3C15,0,0
140,PAK3,0,0
141,ASGR2,0,0
142,ACTL6A,0,0
143,GTF2H5,0,0
144,ST6GALNAC1,0,0
145,VPS33A,0,0
146,SNRPB2,0,0
147,RAB40B,0,0
148,RRM2B,0,0
149,CHCHD4,0,0
150,DNAI2,0,0
151,GAGE12J,0,0
152,SLC10A1,0,0
153,HAUS5,0,0
154,ITGB3BP,0,0
155,RAD51,0,0
156,CD1B,0,0
157,POLE2,0,0
158,TRIM23,0,0
159,FIP1L1,0,0
160,BAZ1B,0,0
161,CTNND2,0,0
162,FSTL1,0,0
163,GNG10,0,0
164,NME7,0,0
165,ANAPC2,0,0
166,HHATL,0,0
167,HLA-DQB2,0,0
168,POU2F3,0,0
169,RRM1,0,0
170,MTX1,0,0
171,HPGDS,0,0
172,TAGLN,1,0
173,ACAT1,0,0
174,PTTG1,0,0
175,CD7,0,0
176,CCL5,0,0
177,RALB,0,0
178,DNAJC17,0,0
179,PDGFB,0,0
180,DCK,0,0
181,LIG3,0,0
182,GTF3C2,0,0
183,ACSL6,0,0
184,CD72,0,0
185,HSPA9,0,0
186,PHKA2,0,0
187,MMUT,0,0
188,PHB2,0,0
189,OSBP,0,0
190,P4HA3,0,0
191,ROPN1B,0,0
192,NDUFV2,0,0
193,ADH1B,1,0
194,DCAF12,0,0
195,SDS,0,0
196,IFNA17,0,0
197,EVI5,0,0
198,HLX,0,0
199,ABCC2,0,0
200,ATP5MF,0,0
201,ETF1,0,0
202,CRBN,0,0
203,CUEDC2,0,0
204,UPP1,0,0
205,IL21R,0,0
206,CCT6A,0,0
207,PRKRIP1,0,0
208,RIPK3,0,0
209,CXCL17,0,0
210,OSGIN2,0,0
211,ACAA2,0,0
212,MEF2C,0,0
213,KIF14,0,0
214,SPEF1,0,0
215,CENPS,0,0
216,LONP2,0,0
217,CPLX2,0,0
218,VPS11,0,0
219,TAF7L,0,0
220,ACOX1,0,0
221,MTHFD2,0,0
222,GNB1L,0,0
223,CDH23,0,0
224,USH1C,0,0
225,ALDH4A1,0,0
226,OSCAR,0,0
227,CHDH,0,0
228,SETD6,0,0
229,RRAS,0,0
230,FGF13,0,0
231,COPS5,0,0
232,PLXNA4,0,0
233,FNBP1,0,0
234,GAPDHS,0,0
235,FBXO4,0,0
236,SNX9,0,0
237,PRSS1,0,0
238,HBB,1,0
239,GRP,0,0
240,PEX19,0,0
241,SLC51A,0,0
242,GFM1,0,0
243,IFNL2,0,0
244,NDUFB7,0,0
245,SLC18A1,0,0
246,SQLE,0,0
247,LTB,0,0
248,RRAGB,0,0
249,MCM8,0,0
250,MED28,0,0
251,PARP3,0,0
252,MAD1L1,0,0
253,COG8,0,0
254,DCC,0,0
255,BMP10,0,0
